id,school_name,region,source,ratio_grade,ratio_exam,ratio_special,border_s,border_naishin_135,border_grade_9_subject_avg,border_exam_5_subject_avg,chance60_s,chance60_naishin_135,chance60_grade_9_subject_avg,chance60_exam_5_subject_avg,chance80_s,chance80_naishin_135,chance80_grade_9_subject_avg,chance80_exam_5_subject_avg,target_s,exam_focus_summary,focus_english_multiplier,focus_best_of,focus_best_multiplier
csv-相模原弥栄高校-普通,相模原弥栄,相模原,kanagaku,5,5,0,763,110.4,4.09,70.8,784,113,4.19,73.1,816,117,4.33,76.5,816,,,,
csv-相模原高校-普通,相模原,相模原,kanagaku,4,6,1,813,111.1,4.11,80.6,870,120,4.44,85.7,902,125,4.63,88.6,902,,,,
csv-相模田名高校-普通,相模田名,相模原,kanagaku,7,3,0,491,73.3,2.72,37.0,521,78,2.89,38.9,553,83,3.07,40.9,553,,,,
csv-県立川崎高校-普通,県立川崎,川崎,kanagaku,5,5,0,539,86.1,3.19,44.0,546,87,3.22,44.8,578,91,3.37,48.2,578,,,,
csv-神奈川総合高校-個性,神奈川総合（個性）,横浜,kanagaku,3,7,0,834,114.2,4.23,82.9,865,121,4.48,85.2,897,128,4.74,87.5,897,,,,
csv-神奈川総合高校-国際,神奈川総合（国際）,横浜,kanagaku,4,6,0,803,111.0,4.11,79.0,833,115,4.26,82.0,863,119,4.41,85.1,863,,,,
csv-秦野曽屋高校-普通,秦野曽屋,県西,kanagaku,6,4,0,503,80.3,2.98,36.5,552,88,3.26,40.2,584,93,3.44,42.7,584,,,,
csv-秦野高校-普通,秦野,県西,kanagaku,4,6,0,655,102.9,3.81,58.3,709,108,4.00,64.8,741,111,4.11,68.7,741,,,,
csv-綾瀬西高校-普通,綾瀬西,県央,kanagaku,6,4,0,390,60.4,2.24,30.4,426,66,2.44,33.2,458,71,2.63,35.6,458,,,,
csv-綾瀬高校-普通,綾瀬,県央,kanagaku,6,4,0,490,76.2,2.82,37.8,540,84,3.11,41.7,572,89,3.30,44.1,572,,,,
csv-舞岡高校-普通,舞岡,横浜,kanagaku,5,5,3,528,82.6,3.06,44.4,547,85,3.15,46.4,579,89,3.30,49.9,579,,,,
csv-茅ケ崎北陵高校-普通,茅ケ崎北陵,湘南,kanagaku,4,6,1,750,107.2,3.97,72.0,796,113,4.19,76.9,828,117,4.33,80.2,828,,,,
csv-茅ケ崎西浜高校-普通,茅ケ崎西浜,湘南,kanagaku,6,4,0,491,75.7,2.80,38.6,512,79,2.93,40.2,544,84,3.11,42.7,544,,,,
csv-茅ケ崎高校-普通,茅ケ崎,湘南,kanagaku,5,5,0,610,93.9,3.48,52.5,622,95,3.52,54.0,654,98,3.63,58.2,654,,,,
csv-荏田高校-普通,荏田,横浜,kanagaku,6,4,0,601,88.1,3.26,52.3,616,90,3.33,54.0,648,94,3.48,57.6,648,,,,
csv-菅高校-普通,菅,川崎,kanagaku,5,5,0,374,61.5,2.28,29.2,422,69,2.56,33.3,454,74,2.74,36.0,454,,,,
csv-藤沢清流高校-普通,藤沢清流,湘南,kanagaku,4,6,0,540,85.8,3.18,47.7,558,88,3.26,49.5,590,92,3.41,52.9,590,,,,
csv-藤沢西高校-普通,藤沢西,湘南,kanagaku,4,6,0,693,106.0,3.93,63.2,725,109,4.04,67.0,757,112,4.15,70.9,757,,,,
csv-西湘高校-普通,西湘,県西,kanagaku,5,5,0,637,101.0,3.74,52.6,680,105,3.89,58.2,712,108,4.00,62.4,712,,,,
csv-足柄高校-普通,足柄,県西,kanagaku,5,5,0,455,74.2,2.75,36.0,505,82,3.04,40.3,537,87,3.22,43.0,537,,,,
csv-追浜高校-普通,追浜,横須賀三浦,kanagaku,4,6,0,738,108.2,4.01,69.5,752,110,4.07,71.0,784,114,4.22,74.4,784,,,,
csv-逗子葉山高校-普通,逗子葉山,横須賀三浦,kanagaku,5,5,0,492,76.3,2.83,41.8,509,79,2.93,43.3,541,84,3.11,46.0,541,,,,
csv-金井高校-普通,金井,横浜,kanagaku,5,5,0,562,86.6,3.21,48.2,597,91,3.37,52.0,629,95,3.52,55.4,629,,,,
csv-鎌倉高校-普通,鎌倉,湘南,kanagaku,4,6,1,806,116.0,4.30,77.0,838,120,4.44,80.4,870,124,4.59,83.8,870,,,,
csv-霧が丘高校-普通,霧が丘,横浜,kanagaku,5,5,0,546,84.2,3.12,46.8,560,86,3.19,48.3,592,90,3.33,51.7,592,,,,
csv-高浜高校-普通,高浜,湘南,kanagaku,5,5,0,455,73.8,2.73,36.3,501,81,3.00,40.2,533,86,3.19,42.9,533,,,,
csv-鶴嶺高校-普通,鶴嶺,湘南,kanagaku,4,6,0,622,98.6,3.65,55.0,648,101,3.74,58.1,680,104,3.85,62.0,680,,,,
csv-鶴見高校-普通,鶴見,横浜,kanagaku,5,5,0,648,97.8,3.62,57.2,672,100,3.70,60.3,704,103,3.81,64.5,704,,,,
csv-麻溝台高校-普通,麻溝台,相模原,kanagaku,5,5,0,680,100.6,3.73,61.5,731,107,3.96,66.9,763,111,4.11,70.4,763,,,,
csv-麻生高校-普通,麻生,川崎,kanagaku,5,5,0,531,83.0,3.07,44.7,563,87,3.22,48.2,595,91,3.37,51.6,595,,,,
